GenGoal_frac_Other,GenGoal_frac_Performance Variation,Outer_iter,GenGoal_frac_Low rewards,GenGoal_frac_Good goals,GenGoal_frac_High rewards,Outer_MeanRewards,Outer_Success
0.0,0.0,188,0.08,0.03666666666666667,0.8833333333333333,0.8995098039215687,0.8995098039215687
0.0,0.0,189,0.06333333333333334,0.08333333333333333,0.8533333333333334,0.8774509803921569,0.8774509803921569
0.0,0.0,190,0.07,0.02,0.91,0.8946078431372549,0.8946078431372549
0.0,0.0,191,0.06333333333333334,0.03,0.9066666666666666,0.9068627450980393,0.9068627450980393
0.0,0.0,192,0.09,0.0033333333333333335,0.9066666666666666,0.8958333333333333,0.8958333333333333
0.0,0.0,193,0.07666666666666666,0.016666666666666666,0.9066666666666666,0.8946078431372548,0.8946078431372548
0.0,0.0,194,0.08,0.03,0.89,0.8811274509803922,0.8811274509803922
0.0,0.0,195,0.1,0.03,0.87,0.8860294117647058,0.8860294117647058
0.0,0.0,196,0.10666666666666667,0.016666666666666666,0.8766666666666667,0.8737745098039216,0.8737745098039216
0.0,0.0,197,0.08333333333333333,0.04666666666666667,0.87,0.877450980392157,0.877450980392157
0.0,0.0,198,0.08333333333333333,0.023333333333333334,0.8933333333333333,0.8897058823529411,0.8897058823529411
0.0,0.0,199,0.09,0.03333333333333333,0.8766666666666667,0.8909313725490196,0.8909313725490196
0.0,0.0,200,0.06,0.016666666666666666,0.9233333333333333,0.9007352941176471,0.9007352941176471
0.0,0.0,201,0.1,0.04666666666666667,0.8533333333333334,0.8786764705882353,0.8786764705882353
0.0,0.0,202,0.056666666666666664,0.0033333333333333335,0.94,0.8933823529411765,0.8933823529411765
0.0,0.0,203,0.09333333333333334,0.02,0.8866666666666667,0.8909313725490196,0.8909313725490196
0.0,0.0,204,0.06666666666666667,0.013333333333333334,0.92,0.8933823529411765,0.8933823529411765
0.0,0.0,205,0.06,0.02,0.92,0.8848039215686274,0.8848039215686274
0.0,0.0,206,0.1,0.03666666666666667,0.8633333333333333,0.8921568627450981,0.8921568627450981
0.0,0.0,207,0.08666666666666667,0.08,0.8333333333333334,0.883578431372549,0.883578431372549
0.0,0.0,208,0.06,0.02666666666666667,0.9133333333333333,0.8909313725490197,0.8909313725490197
0.0,0.0,209,0.09,0.04666666666666667,0.8633333333333333,0.8860294117647058,0.8860294117647058
0.0,0.0,210,0.056666666666666664,0.02666666666666667,0.9166666666666666,0.8835784313725491,0.8835784313725491
0.0,0.0,211,0.07333333333333333,0.01,0.9166666666666666,0.8995098039215685,0.8995098039215685
0.0,0.0,212,0.07,0.016666666666666666,0.9133333333333333,0.8909313725490197,0.8909313725490197
0.0,0.0,213,0.04,0.023333333333333334,0.9366666666666666,0.8848039215686273,0.8848039215686273
0.0,0.0,214,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.8480392156862746,0.8480392156862746
0.0,0.0,215,0.08333333333333333,0.06333333333333334,0.8533333333333334,0.8700980392156863,0.8700980392156863
0.0,0.0,216,0.10666666666666667,0.04666666666666667,0.8466666666666667,0.866421568627451,0.866421568627451
0.0,0.0,217,0.08,0.03,0.89,0.8713235294117647,0.8713235294117647
0.0,0.0,218,0.11,0.02666666666666667,0.8633333333333333,0.8737745098039217,0.8737745098039217
0.0,0.0,219,0.07666666666666666,0.06,0.8633333333333333,0.8578431372549019,0.8578431372549019
0.0,0.0,220,0.08,0.043333333333333335,0.8766666666666667,0.8664215686274509,0.8664215686274509
0.0,0.0,221,0.08666666666666667,0.03333333333333333,0.88,0.8713235294117647,0.8713235294117647
0.0,0.0,222,0.07,0.02666666666666667,0.9033333333333333,0.877450980392157,0.877450980392157
0.0,0.0,223,0.07333333333333333,0.03,0.8966666666666666,0.8688725490196078,0.8688725490196078
0.0,0.0,224,0.08333333333333333,0.023333333333333334,0.8933333333333333,0.8737745098039216,0.8737745098039216
0.0,0.0,225,0.09333333333333334,0.03333333333333333,0.8733333333333333,0.8627450980392157,0.8627450980392157
0.0,0.0,226,0.09333333333333334,0.023333333333333334,0.8833333333333333,0.8762254901960783,0.8762254901960783
0.0,0.0,227,0.11,0.023333333333333334,0.8666666666666667,0.8737745098039217,0.8737745098039217
0.0,0.0,228,0.09333333333333334,0.013333333333333334,0.8933333333333333,0.8762254901960783,0.8762254901960783
0.0,0.0,229,0.12666666666666668,0.02,0.8533333333333334,0.8786764705882353,0.8786764705882353
0.0,0.0,230,0.07666666666666666,0.056666666666666664,0.8666666666666667,0.8664215686274508,0.8664215686274508
0.0,0.0,231,0.08666666666666667,0.03,0.8833333333333333,0.8700980392156863,0.8700980392156863
0.0,0.0,232,0.10666666666666667,0.023333333333333334,0.87,0.8688725490196079,0.8688725490196079
0.0,0.0,233,0.12333333333333334,0.043333333333333335,0.8333333333333334,0.866421568627451,0.866421568627451
